day,index,rho,error,msa,region,yindex,rho_ci_low,rho_ci_high,err_ci_low,err_ci_high,nblock_median,lag_median,n_boot_used,keep_ratio,B,n_fail
2020-02-10,exp,0.451260541996333,122.121546427125,Atlanta,msa,2,0.46479506939782,0.46942464068665,120.97982934042,127.44066322658,2337,35,100,0.9,100,0
2020-02-10,homo,0.00033053480675948,179.212730956125,Atlanta,msa,2,0.000371224915851499,0.000371224915851499,174.66161831654,182.872027588282,2337,35,100,0.9,100,0
2020-02-10,power,65.6231197776083,1391.59166920935,Atlanta,msa,2,65.6231197776083,65.6231197776083,1216.89200041376,1274.04271793564,2337,35,100,0.9,100,0
2020-02-11,exp,0.450963195969275,121.245324708923,Atlanta,msa,2,0.464468878963386,0.469047714891494,120.241368782974,126.443782345386,2337,35,100,0.9,100,0
2020-02-11,homo,0.00033053480675948,178.763262034617,Atlanta,msa,2,0.000371224915851499,0.000371224915851499,174.674741928938,182.572174693147,2337,35,100,0.9,100,0
2020-02-11,power,65.6231197776083,1358.24179420861,Atlanta,msa,2,65.6231197776083,65.6231197776083,1189.01236737815,1244.86597826037,2337,35,100,0.9,100,0
2020-02-12,exp,0.451071903183828,124.906119540998,Atlanta,msa,2,0.464563898777565,0.469155558736188,123.83252339384,130.45599115314,2337,35,100,0.9,100,0
2020-02-12,homo,0.00033053480675948,184.373627252087,Atlanta,msa,2,0.000371224915851499,0.000371224915851499,179.548733980078,188.286946640084,2337,35,100,0.9,100,0
2020-02-12,power,65.6231197776083,1401.88237101006,Atlanta,msa,2,65.6231197776083,65.6231197776083,1227.06621695795,1284.52589502605,2337,35,100,0.9,100,0
2020-02-13,exp,0.451426316480831,125.824149570051,Atlanta,msa,2,0.464877157296068,0.469520001090718,124.754172457076,131.229054072147,2337,35,100,0.9,100,0
2020-02-13,homo,0.00033053480675948,185.919143499513,Atlanta,msa,2,0.000371224915851499,0.000371224915851499,181.512287326538,189.703025065564,2337,35,100,0.9,100,0
2020-02-13,power,65.6231197776083,1413.59229080633,Atlanta,msa,2,65.6231197776083,65.6231197776083,1238.18772895753,1294.97783370937,2337,35,100,0.9,100,0
2020-02-14,exp,0.451689682205442,131.63457886551,Atlanta,msa,2,0.46508030544933,0.469908260951701,130.673478654387,137.333753311312,2337,35,100,0.9,100,0
2020-02-14,homo,0.00033053480675948,195.605983418044,Atlanta,msa,2,0.000371224915851499,0.000371224915851499,190.957559521607,199.662276955827,2337,35,100,0.9,100,0
2020-02-14,power,65.6231197776083,1483.69046184389,Atlanta,msa,2,65.6231197776083,65.6231197776083,1298.09113670176,1358.13072246121,2337,35,100,0.9,100,0
2020-02-15,exp,0.450812510694115,118.460805253109,Atlanta,msa,2,0.464314102524212,0.468895097676127,117.559021890345,123.582666129935,2337,35,100,0.9,100,0
2020-02-15,homo,0.00033053480675948,173.61044236592,Atlanta,msa,2,0.000371224915851499,0.000371224915851499,169.879769343681,177.222457691458,2337,35,100,0.9,100,0
2020-02-15,power,65.6231197776083,1318.20869228543,Atlanta,msa,2,65.6231197776083,65.6231197776083,1153.40099804591,1207.18489242415,2337,35,100,0.9,100,0
2020-02-16,exp,0.45026437204231,105.247805034038,Atlanta,msa,2,0.463824980025426,0.468302854665248,104.352041843626,109.868556521647,2337,35,100,0.9,100,0
2020-02-16,homo,0.00033053480675948,154.311259885147,Atlanta,msa,2,0.000371224915851499,0.000371224915851499,150.753931867874,157.652124112913,2337,35,100,0.9,100,0
2020-02-16,power,65.6231197776083,1164.08668705817,Atlanta,msa,2,65.6231197776083,65.6231197776083,1019.26515049728,1066.64636610618,2337,35,100,0.9,100,0
2020-03-30,exp,0.450778339168736,79.4233121771876,Atlanta,msa,2,0.464205337273429,0.469054509030276,78.5704385117124,82.7512151109177,2337,35,100,0.9,100,0
2020-03-30,homo,0.00033053480675948,119.834078993655,Atlanta,msa,2,0.000371224915851499,0.000371224915851499,117.070688665734,122.108144154786,2337,35,100,0.9,100,0
2020-03-30,power,65.6231197776083,901.920423887962,Atlanta,msa,2,65.6231197776083,65.6231197776083,788.406788527131,826.629837520333,2337,35,100,0.9,100,0
2020-03-31,exp,0.450525282856993,76.5067497250838,Atlanta,msa,2,0.463936165165069,0.468701083893046,75.7876195434853,79.8000190684649,2337,35,100,0.9,100,0
2020-03-31,homo,0.00033053480675948,115.630763856205,Atlanta,msa,2,0.000371224915851499,0.000371224915851499,112.930359166761,117.88652253824,2337,35,100,0.9,100,0
2020-03-31,power,65.6231197776083,866.056574740895,Atlanta,msa,2,65.6231197776083,65.6231197776083,757.321011667934,793.090207560295,2337,35,100,0.9,100,0
2020-04-01,exp,0.450239541987048,91.7111458859059,Atlanta,msa,2,0.463625800357774,0.46848595349259,90.8835492159084,95.6382652576778,2337,35,100,0.9,100,0
2020-04-01,homo,0.00033053480675948,131.997342353368,Atlanta,msa,2,0.000371224915851499,0.000371224915851499,128.981899335337,134.544989114587,2337,35,100,0.9,100,0
2020-04-01,power,65.6231197776083,1022.85565290554,Atlanta,msa,2,65.6231197776083,65.6231197776083,893.295852462716,937.709316867973,2337,35,100,0.9,100,0
2020-04-02,exp,0.449950381468821,94.5177652568527,Atlanta,msa,2,0.46328613294135,0.468016613890202,93.7847317759345,98.5754608167554,2337,35,100,0.9,100,0
2020-04-02,homo,0.00033053480675948,135.497882972306,Atlanta,msa,2,0.000371224915851499,0.000371224915851499,132.614158813442,138.202547244325,2337,35,100,0.9,100,0
2020-04-02,power,65.6231197776083,1040.84045195659,Atlanta,msa,2,65.6231197776083,65.6231197776083,908.150726567312,954.497776608293,2337,35,100,0.9,100,0
2020-04-03,exp,0.449978113429931,92.7788619214529,Atlanta,msa,2,0.463304048596226,0.468285903922522,91.9712230532478,96.8339812000196,2337,35,100,0.9,100,0
2020-04-03,homo,0.00033053480675948,132.827683931903,Atlanta,msa,2,0.000371224915851499,0.000371224915851499,129.93711381352,135.411352962138,2337,35,100,0.9,100,0
2020-04-03,power,65.6231197776083,1024.61832801974,Atlanta,msa,2,65.6231197776083,65.6231197776083,892.699889843453,939.784446477519,2337,35,100,0.9,100,0
2020-04-04,exp,0.448817168195727,83.5287515821006,Atlanta,msa,2,0.462122884861119,0.46708032393076,82.6696167137813,87.1434594974548,2337,35,100,0.9,100,0
2020-04-04,homo,0.00033053480675948,116.898114397838,Atlanta,msa,2,0.000371224915851499,0.000371224915851499,114.38898906949,119.148259868928,2337,35,100,0.9,100,0
2020-04-04,power,65.6231197776083,905.393006939688,Atlanta,msa,2,65.6231197776083,65.6231197776083,788.676307546005,829.744490222307,2337,35,100,0.9,100,0
2020-04-05,exp,0.448108975191777,77.695594225917,Atlanta,msa,2,0.461309889923472,0.46622069793859,76.9213448373915,80.9979451415297,2337,35,100,0.9,100,0
2020-04-05,homo,0.00033053480675948,108.220329389324,Atlanta,msa,2,0.000371224915851499,0.000371224915851499,105.87942880123,110.211818859039,2337,35,100,0.9,100,0
2020-04-05,power,65.6231197776083,831.43445795076,Atlanta,msa,2,65.6231197776083,65.6231197776083,724.378565196794,762.430853644141,2337,35,100,0.9,100,0
