"day","lag","rho","error","index","err_tag"
2020-02-10,36,0.000244971852252939,121.86635943735,"homo","rmse"
2020-02-11,36,0.000244971852252939,120.144102088258,"homo","rmse"
2020-02-12,36,0.000244971852252939,123.711720436338,"homo","rmse"
2020-02-13,36,0.000244971852252939,125.160678369333,"homo","rmse"
2020-02-14,36,0.000244971852252939,130.275900188079,"homo","rmse"
2020-02-15,36,0.000244971852252939,118.384253200383,"homo","rmse"
2020-02-16,36,0.000244971852252939,112.419628629243,"homo","rmse"
2020-03-30,36,0.000244971852252939,73.2084365929936,"homo","rmse"
2020-03-31,36,0.000244971852252939,70.1152182436092,"homo","rmse"
2020-04-01,36,0.000244971852252939,83.91354629843,"homo","rmse"
2020-04-02,36,0.000244971852252939,84.6492595056674,"homo","rmse"
2020-04-03,36,0.000244971852252939,85.7981721796317,"homo","rmse"
2020-04-04,36,0.000244971852252939,83.6850812206451,"homo","rmse"
2020-04-05,36,0.000244971852252939,78.6891009607838,"homo","rmse"
2020-02-10,36,60.9017499402505,1153.81016913947,"power","rmse"
2020-02-11,36,60.9017499402505,1114.47626930935,"power","rmse"
2020-02-12,36,60.9017499402505,1148.2611252257,"power","rmse"
2020-02-13,36,60.9017499402505,1152.34355201353,"power","rmse"
2020-02-14,36,60.9017499402505,1198.76711118363,"power","rmse"
2020-02-15,36,60.9017499402505,1071.34331045317,"power","rmse"
2020-02-16,36,60.9017499402505,1002.5352053173,"power","rmse"
2020-03-30,36,60.9017499402505,681.311107956146,"power","rmse"
2020-03-31,36,60.9017499402505,651.266785338459,"power","rmse"
2020-04-01,36,60.9017499402505,768.016623759307,"power","rmse"
2020-04-02,36,60.9017499402505,761.089153595897,"power","rmse"
2020-04-03,36,60.9017499402505,775.351954603027,"power","rmse"
2020-04-04,36,60.9017499402505,738.642249492755,"power","rmse"
2020-04-05,36,60.9017499402505,685.991504783691,"power","rmse"
2020-02-10,36,0.445880136400146,102.562004575383,"exp","rmse"
2020-02-11,36,0.445905809887391,101.105549518058,"exp","rmse"
2020-02-12,36,0.445857410957948,104.345173171261,"exp","rmse"
2020-02-13,36,0.445938470068294,104.498158943804,"exp","rmse"
2020-02-14,36,0.445930080181185,108.567547068306,"exp","rmse"
2020-02-15,36,0.446085337612982,97.8145473190837,"exp","rmse"
2020-02-16,36,0.445973199346899,92.8237308817603,"exp","rmse"
2020-03-30,36,0.445939565595769,61.1880810018469,"exp","rmse"
2020-03-31,36,0.445960427654586,58.5976263913638,"exp","rmse"
2020-04-01,36,0.445320507824401,72.7878066386682,"exp","rmse"
2020-04-02,36,0.445106368443254,73.642080996838,"exp","rmse"
2020-04-03,36,0.445349492547761,74.2521621704009,"exp","rmse"
2020-04-04,36,0.445202610791549,72.2593538177113,"exp","rmse"
2020-04-05,36,0.445307853946428,68.1157245313061,"exp","rmse"
