day,index,rho,error,msa,region,yindex,rho_ci_low,rho_ci_high,err_ci_low,err_ci_high,nblock_median,lag_median,n_boot_used,keep_ratio,B,n_fail
2020-02-10,exp,0.424557182715389,81.4043691447621,"Washington, D.C.",msa,2,0.434435886231562,0.447792540143016,74.6513193227511,84.7019472171782,3219,35,100,0.9,100,0
2020-02-10,homo,0.000244971852252939,83.6010696476304,"Washington, D.C.",msa,2,0.000249154589181772,0.000289844697667461,81.2037744877121,85.3680104621726,3219,35,100,0.9,100,0
2020-02-10,power,79.9999508083439,813.001243323594,"Washington, D.C.",msa,2,64.7214332302896,79.9999508083439,673.845358495986,752.907441181762,3219,35,100,0.9,100,0
2020-02-11,exp,0.424805561032363,78.8206198162006,"Washington, D.C.",msa,2,0.434829663367935,0.447244121418848,73.0436422740795,81.9289499946548,3219,35,100,0.9,100,0
2020-02-11,homo,0.000244971852252939,82.3237379315155,"Washington, D.C.",msa,2,0.000244971852252939,0.000289844697667461,79.977237233791,84.0818460631465,3219,35,100,0.9,100,0
2020-02-11,power,79.9999508083439,784.062716454383,"Washington, D.C.",msa,2,79.9999508083439,79.9999508083439,655.200880972429,725.876913707224,3219,35,100,0.9,100,0
2020-02-12,exp,0.424076482146287,81.6940136073853,"Washington, D.C.",msa,2,0.433900515931829,0.446478001092267,75.9309790685974,84.8959328325149,3219,35,100,0.9,100,0
2020-02-12,homo,0.000244971852252939,85.0183802725621,"Washington, D.C.",msa,2,0.000244971852252939,0.000285661960069971,82.6447294204941,86.7106124031751,3219,35,100,0.9,100,0
2020-02-12,power,79.9999508083439,806.730075606318,"Washington, D.C.",msa,2,79.9999508083439,79.9999508083439,674.665329826758,747.220641624336,3219,35,100,0.9,100,0
2020-02-13,exp,0.421319760326569,82.8328215163346,"Washington, D.C.",msa,2,0.430552066971229,0.444270931088276,76.7308594529031,86.1713106237907,3219,35,100,0.9,100,0
2020-02-13,homo,0.000244971852252939,84.9855050510222,"Washington, D.C.",msa,2,0.000244971852252939,0.000285661960069971,82.4731056885753,86.6595389185662,3219,35,100,0.9,100,0
2020-02-13,power,79.9999508083439,812.255011319553,"Washington, D.C.",msa,2,71.9787290798654,79.9999508083439,676.552523837179,752.001787763484,3219,35,100,0.9,100,0
2020-02-14,exp,0.425047122845521,83.7997112800387,"Washington, D.C.",msa,2,0.434975711976108,0.448164908441809,76.8867197361707,87.2591583477063,3219,35,100,0.9,100,0
2020-02-14,homo,0.000244971852252939,88.7174780924788,"Washington, D.C.",msa,2,0.000244971852252939,0.000285661960069971,86.012569618137,90.6797048553955,3219,35,100,0.9,100,0
2020-02-14,power,79.9999508083439,831.748975590609,"Washington, D.C.",msa,2,79.9999508083439,79.9999508083439,688.820965016787,770.479233342754,3219,35,100,0.9,100,0
2020-02-15,exp,0.424641766375935,73.7364991563502,"Washington, D.C.",msa,2,0.434781219742378,0.447075859434107,68.2400283941235,76.6983011972201,3219,35,100,0.9,100,0
2020-02-15,homo,0.000244971852252939,80.1116764015239,"Washington, D.C.",msa,2,0.000244971852252939,0.000244971852252939,77.714215096126,81.680072428757,3219,35,100,0.9,100,0
2020-02-15,power,79.9999508083439,726.878025818561,"Washington, D.C.",msa,2,79.9999508083439,79.9999508083439,605.788305185975,673.895516104476,3219,35,100,0.9,100,0
2020-02-16,exp,0.419856920541163,72.9274076787779,"Washington, D.C.",msa,2,0.428800485739925,0.442517307976375,67.9996325050477,75.9176818680132,3219,35,100,0.9,100,0
2020-02-16,homo,0.000244971852252939,76.9474443144056,"Washington, D.C.",msa,2,0.000244971852252939,0.000248683582351832,74.1317289116792,78.4029950527846,3219,35,100,0.9,100,0
2020-02-16,power,79.9999508083439,703.126738902001,"Washington, D.C.",msa,2,71.9787290798654,79.9999508083439,588.55431542842,651.882887375806,3219,35,100,0.9,100,0
2020-03-30,exp,0.423817136107676,51.4148337001429,"Washington, D.C.",msa,2,0.433882700515056,0.445982608854146,47.4936069067565,53.4724402407034,3219,35,100,0.9,100,0
2020-03-30,homo,0.000204281745042237,56.7009557511221,"Washington, D.C.",msa,2,0.000244971852252939,0.000248457433626735,55.0579552103215,57.4975326206099,3219,35,100,0.9,100,0
2020-03-30,power,79.9999508083439,519.65752967085,"Washington, D.C.",msa,2,64.7214332302896,79.9999508083439,436.527822339591,479.665281586685,3219,35,100,0.9,100,0
2020-03-31,exp,0.422587959581253,46.5778153855375,"Washington, D.C.",msa,2,0.432603977949653,0.445439605738873,42.7031375770085,48.4044676086785,3219,35,100,0.9,100,0
2020-03-31,homo,0.000204281745042237,51.4202799349895,"Washington, D.C.",msa,2,0.000244971852252939,0.000244971852252939,50.0057477384878,52.2380213027457,3219,35,100,0.9,100,0
2020-03-31,power,79.9999508083439,469.162107621414,"Washington, D.C.",msa,2,64.7214332302896,79.9999508083439,391.866797052625,433.885944266029,3219,35,100,0.9,100,0
2020-04-01,exp,0.416881154198339,58.6794120172497,"Washington, D.C.",msa,2,0.425719430495423,0.440437928389076,54.344489954009,61.0237870979526,3219,35,100,0.9,100,0
2020-04-01,homo,0.000204281745042237,61.3703537215261,"Washington, D.C.",msa,2,0.000244971852252939,0.000248368570650888,59.5768568950945,62.3466196450807,3219,35,100,0.9,100,0
2020-04-01,power,79.9999508083439,549.605885157649,"Washington, D.C.",msa,2,64.7214332302896,79.9999508083439,456.871890245922,508.852048673052,3219,35,100,0.9,100,0
2020-04-02,exp,0.417122836445742,59.2657642457962,"Washington, D.C.",msa,2,0.426094893148965,0.441659686407718,54.4804308875665,61.5735742882726,3219,35,100,0.9,100,0
2020-04-02,homo,0.000204281745042237,62.4359971168844,"Washington, D.C.",msa,2,0.000244971852252939,0.000246446849929444,60.6295170775001,63.4445777809705,3219,35,100,0.9,100,0
2020-04-02,power,79.9999508083439,553.335481467286,"Washington, D.C.",msa,2,64.7214332302896,79.9999508083439,457.703605962194,511.694834065702,3219,35,100,0.9,100,0
2020-04-03,exp,0.418739935845383,59.6260343165074,"Washington, D.C.",msa,2,0.428011747489513,0.442807790785438,54.9051654284154,61.9425035333689,3219,35,100,0.9,100,0
2020-04-03,homo,0.000204281745042237,63.2907570127681,"Washington, D.C.",msa,2,0.000244971852252939,0.000247945019346428,61.3440304592957,64.2378009295473,3219,35,100,0.9,100,0
2020-04-03,power,79.9999508083439,560.884025972037,"Washington, D.C.",msa,2,64.7214332302896,79.9999508083439,465.228832585556,518.305792249151,3219,35,100,0.9,100,0
2020-04-04,exp,0.41862457606286,56.7635270141834,"Washington, D.C.",msa,2,0.428057008411431,0.442786023732809,52.3691748866034,58.7980295817528,3219,35,100,0.9,100,0
2020-04-04,homo,0.000204281745042237,60.5086045368171,"Washington, D.C.",msa,2,0.000244971852252939,0.000245561382759537,58.7742037975653,61.4885254652191,3219,35,100,0.9,100,0
2020-04-04,power,79.9999508083439,528.248852138351,"Washington, D.C.",msa,2,64.7214332302896,79.9999508083439,438.96620974178,488.723604174507,3219,35,100,0.9,100,0
2020-04-05,exp,0.417024799461854,53.7976659281467,"Washington, D.C.",msa,2,0.426244316054622,0.440469678097221,50.1183174287467,55.794247826185,3219,35,100,0.9,100,0
2020-04-05,homo,0.000204281745042237,56.766509770412,"Washington, D.C.",msa,2,0.000244971852252939,0.000244971852252939,55.0721415626524,57.6858240033705,3219,35,100,0.9,100,0
2020-04-05,power,64.7214332302896,496.993953275215,"Washington, D.C.",msa,2,64.7214332302896,79.9999508083439,415.288622145723,459.322376109292,3219,35,100,0.9,100,0
