day,index,rho,error,msa,region,yindex,rho_ci_low,rho_ci_high,err_ci_low,err_ci_high,nblock_median,lag_median,n_boot_used,keep_ratio,B,n_fail
2020-02-10,exp,0.4257927129233,79.5247818234877,Chicago,msa,2,0.437073568249553,0.441348927982548,78.7342775942745,83.2100266728389,5931,39,100,0.9,100,0
2020-02-10,homo,0.000126253061717243,96.5186398536266,Chicago,msa,2,0.000126253061717243,0.000126253061717243,94.0204269774868,99.1702123628137,5931,39,100,0.9,100,0
2020-02-10,power,65.6231197776083,808.831764152319,Chicago,msa,2,65.6231197776083,65.6231197776083,706.110189250366,745.429030095838,5931,39,100,0.9,100,0
2020-02-11,exp,0.42539410255886,77.0519176835274,Chicago,msa,2,0.436617050973561,0.440851825459166,76.4014461153749,80.4609468191073,5931,39,100,0.9,100,0
2020-02-11,homo,0.000126253061717243,94.0580609405965,Chicago,msa,2,0.000126253061717243,0.000126253061717243,91.4695013124678,96.5892042262214,5931,39,100,0.9,100,0
2020-02-11,power,65.6231197776083,774.962910301209,Chicago,msa,2,65.6231197776083,65.6231197776083,675.662774954725,713.910623481434,5931,39,100,0.9,100,0
2020-02-12,exp,0.425235482278064,77.7687424309614,Chicago,msa,2,0.436441885509111,0.440700236182023,77.0248365807452,81.2326839468789,5931,39,100,0.9,100,0
2020-02-12,homo,0.000126253061717243,94.1563271056683,Chicago,msa,2,0.000126253061717243,0.000126253061717243,91.6195052467416,96.6837410423151,5931,39,100,0.9,100,0
2020-02-12,power,65.6231197776083,779.279521005757,Chicago,msa,2,65.6231197776083,65.6231197776083,680.780456030575,717.865100642519,5931,39,100,0.9,100,0
2020-02-13,exp,0.425084490657578,78.6032937028201,Chicago,msa,2,0.436337219700883,0.440499669156256,77.8122127939569,82.033063109815,5931,39,100,0.9,100,0
2020-02-13,homo,0.000126253061717243,96.1764090439937,Chicago,msa,2,0.000126253061717243,0.000126253061717243,93.3813361609245,98.7346007843192,5931,39,100,0.9,100,0
2020-02-13,power,65.6231197776083,783.952477084968,Chicago,msa,2,65.6231197776083,65.6231197776083,684.641247841621,722.842731417758,5931,39,100,0.9,100,0
2020-02-14,exp,0.425982293136234,84.0390008054706,Chicago,msa,2,0.437299436473989,0.441679266525784,82.9854170696529,87.8021484679667,5931,39,100,0.9,100,0
2020-02-14,homo,0.000126253061717243,103.97612003378,Chicago,msa,2,0.000126253061717243,0.000126253061717243,100.916039608632,106.71756932159,5931,39,100,0.9,100,0
2020-02-14,power,65.6231197776083,837.163202511306,Chicago,msa,2,65.6231197776083,65.6231197776083,730.595453876297,770.987885839992,5931,39,100,0.9,100,0
2020-02-15,exp,0.425531345466469,77.493475540081,Chicago,msa,2,0.43681053166814,0.441181039929983,76.6301982257306,80.9606309663224,5931,39,100,0.9,100,0
2020-02-15,homo,0.000126253061717243,96.4394408607999,Chicago,msa,2,0.000126253061717243,0.000126253061717243,93.5146721456133,98.8992792742345,5931,39,100,0.9,100,0
2020-02-15,power,65.6231197776083,766.234812502259,Chicago,msa,2,65.6231197776083,65.6231197776083,668.396013585595,706.244271185627,5931,39,100,0.9,100,0
2020-02-16,exp,0.424422358367786,72.6095045537662,Chicago,msa,2,0.435505417000503,0.439963559323613,71.7903358881993,75.7514135203894,5931,39,100,0.9,100,0
2020-02-16,homo,0.000126253061717243,89.9102993628201,Chicago,msa,2,0.000126253061717243,0.000126253061717243,87.165820854358,92.0614165298274,5931,39,100,0.9,100,0
2020-02-16,power,65.6231197776083,716.62508786382,Chicago,msa,2,65.6231197776083,65.6231197776083,625.842395957647,659.620091902965,5931,39,100,0.9,100,0
2020-03-30,exp,0.420295800901595,50.3168234103128,Chicago,msa,2,0.430616808335829,0.43681109206871,49.2869536900841,52.6204876462728,5931,39,100,0.9,100,0
2020-03-30,homo,0.000126253061717243,61.5304739238285,Chicago,msa,2,0.000126253061717243,0.000126253061717243,59.3871918025234,62.7565089822937,5931,39,100,0.9,100,0
2020-03-30,power,65.6231197776083,503.763098487471,Chicago,msa,2,65.6231197776083,65.6231197776083,440.355375924438,464.024129870467,5931,39,100,0.9,100,0
2020-03-31,exp,0.421444792887824,48.115911994625,Chicago,msa,2,0.432086850713061,0.437448223920288,47.3916802206864,50.2831090031108,5931,39,100,0.9,100,0
2020-03-31,homo,0.000126253061717243,59.4384078844216,Chicago,msa,2,0.000126253061717243,0.000126253061717243,57.38553019284,60.5768881512141,5931,39,100,0.9,100,0
2020-03-31,power,65.6231197776083,485.667086689197,Chicago,msa,2,65.6231197776083,65.6231197776083,425.293780542835,446.773632591356,5931,39,100,0.9,100,0
2020-04-01,exp,0.422299627236021,56.3914660252067,Chicago,msa,2,0.4332078109713,0.438041638108585,55.6234776758953,58.8386130636984,5931,39,100,0.9,100,0
2020-04-01,homo,0.000126253061717243,68.6571990913166,Chicago,msa,2,0.000126253061717243,0.000126253061717243,66.4635076714307,70.0708258151805,5931,39,100,0.9,100,0
2020-04-01,power,65.6231197776083,556.73600954266,Chicago,msa,2,65.6231197776083,65.6231197776083,486.990895397776,513.977317753167,5931,39,100,0.9,100,0
2020-04-02,exp,0.422062433376852,57.6779092179843,Chicago,msa,2,0.432974163686389,0.437841737866008,56.8326319391584,60.0786180895891,5931,39,100,0.9,100,0
2020-04-02,homo,0.000126253061717243,69.9598965841954,Chicago,msa,2,0.000126253061717243,0.000126253061717243,67.8342518041047,71.4396997562666,5931,39,100,0.9,100,0
2020-04-02,power,65.6231197776083,561.74202019984,Chicago,msa,2,65.6231197776083,65.6231197776083,491.759306301198,518.771555216606,5931,39,100,0.9,100,0
2020-04-03,exp,0.422624536465818,59.7959730464652,Chicago,msa,2,0.433653432536339,0.438452266979034,59.1435472625207,62.4132357429612,5931,39,100,0.9,100,0
2020-04-03,homo,0.000126253061717243,72.6154045876887,Chicago,msa,2,0.000126253061717243,0.000126253061717243,70.4200339266686,74.2179240760708,5931,39,100,0.9,100,0
2020-04-03,power,65.6231197776083,586.484455374535,Chicago,msa,2,65.6231197776083,65.6231197776083,513.215693364043,541.206079730617,5931,39,100,0.9,100,0
2020-04-04,exp,0.420929919417021,55.54436342778,Chicago,msa,2,0.431609873346902,0.436585848045854,54.8217252871132,57.7700332879813,5931,39,100,0.9,100,0
2020-04-04,homo,0.000126253061717243,67.2825607612069,Chicago,msa,2,0.000126253061717243,0.000126253061717243,65.2205728397541,68.6318960377748,5931,39,100,0.9,100,0
2020-04-04,power,65.6231197776083,535.616929207185,Chicago,msa,2,65.6231197776083,65.6231197776083,468.534215530113,494.897659988451,5931,39,100,0.9,100,0
2020-04-05,exp,0.420529424190963,51.8745500554094,Chicago,msa,2,0.431316442087425,0.436155031422624,51.1954070775835,53.9494896166847,5931,39,100,0.9,100,0
2020-04-05,homo,0.000126253061717243,62.5999320413231,Chicago,msa,2,0.000126253061717243,0.000126253061717243,60.5204718454603,63.8221946884842,5931,39,100,0.9,100,0
2020-04-05,power,65.6231197776083,499.03942128021,Chicago,msa,2,65.6231197776083,65.6231197776083,436.196827742249,460.807379083664,5931,39,100,0.9,100,0
