"msa","day","rep","lag","eta","total_flow","rho","error"
"Chicago",2020-02-10,68,38,0.05,1265985,0.425717710532164,79.9182478718625
"Chicago",2020-02-10,69,38,0.05,1265985,0.425818389441098,79.4800899906095
"Chicago",2020-02-10,70,38,0.05,1265985,0.425672699047358,79.7269686574688
"Chicago",2020-02-10,71,38,0.05,1265985,0.425707237429075,79.6532273390199
"Chicago",2020-02-10,72,38,0.05,1265985,0.425759402963446,79.9219026929786
"Chicago",2020-02-10,73,38,0.05,1265985,0.425477182182509,80.0401904501516
"Chicago",2020-02-10,74,38,0.05,1265985,0.425715498764101,79.7145969013201
"Chicago",2020-02-10,75,38,0.05,1265985,0.425564846593667,79.8854999886486
"Chicago",2020-02-10,76,38,0.05,1265985,0.425825093436039,79.3005226781794
"Chicago",2020-02-10,77,38,0.05,1265985,0.4256361538649,79.9506940122475
"Chicago",2020-02-10,78,38,0.05,1265985,0.425769101666087,79.7397295214151
"Chicago",2020-02-10,79,38,0.05,1265985,0.425802731649566,79.5557556043806
"Chicago",2020-02-10,80,38,0.05,1265985,0.42563658198529,79.9618686961574
"Chicago",2020-02-10,81,38,0.05,1265985,0.425779164753613,79.6577434235167
"Chicago",2020-02-10,82,38,0.05,1265985,0.425750584498983,79.6589547433545
"Chicago",2020-02-10,83,38,0.05,1265985,0.42569383056937,79.5815077351795
"Chicago",2020-02-10,84,38,0.05,1265985,0.425738181465637,79.3924003411929
"Chicago",2020-02-10,85,38,0.05,1265985,0.425946027363384,79.2235756968186
"Chicago",2020-02-10,86,38,0.05,1265985,0.425732040814567,79.5888615193641
"Chicago",2020-02-10,87,38,0.05,1265985,0.42579436874408,79.6377403838217
"Chicago",2020-02-10,88,38,0.05,1265985,0.425734573218735,79.7280463899361
"Chicago",2020-02-10,89,38,0.05,1265985,0.425771223611989,79.5297773626569
"Chicago",2020-02-10,90,38,0.05,1265985,0.425797700030026,79.4977775733966
"Chicago",2020-02-10,91,38,0.05,1265985,0.425507708656423,80.0222595251784
"Chicago",2020-02-10,92,38,0.05,1265985,0.425907877541252,79.1490614881213
"Chicago",2020-02-10,93,38,0.05,1265985,0.425596221652182,79.8027396024166
"Chicago",2020-02-10,94,38,0.05,1265985,0.425661269622066,79.9962825250346
"Chicago",2020-02-10,95,38,0.05,1265985,0.425782846595848,79.5171345381484
"Chicago",2020-02-10,96,38,0.05,1265985,0.425713840601565,79.6972050120566
"Chicago",2020-02-10,97,38,0.05,1265985,0.425644199393121,79.7284717533191
"Chicago",2020-02-10,98,38,0.05,1265985,0.425637951502573,79.8266471041198
"Chicago",2020-02-10,99,38,0.05,1265985,0.42588310888933,79.2743992895185
"Chicago",2020-02-10,100,38,0.05,1265985,0.425758678493641,79.5085587118716
"Chicago",2020-02-11,1,38,0.05,1206148,0.425505520291751,76.5744855818759
"Chicago",2020-02-11,2,38,0.05,1206148,0.425400316033764,77.2412501427254
"Chicago",2020-02-11,3,38,0.05,1206148,0.425492913802188,76.9032677244436
"Chicago",2020-02-11,4,38,0.05,1206148,0.425364322120074,77.0335171992512
"Chicago",2020-02-11,5,38,0.05,1206148,0.425329490927556,77.3004384541152
"Chicago",2020-02-11,6,38,0.05,1206148,0.425393987501193,77.1127015589023
"Chicago",2020-02-11,7,38,0.05,1206148,0.425548022384861,76.6508021941519
"Chicago",2020-02-11,8,38,0.05,1206148,0.425312632830972,77.1417356796177
"Chicago",2020-02-11,9,38,0.05,1206148,0.425546927614382,76.7606426091081
"Chicago",2020-02-11,10,38,0.05,1206148,0.425451194355844,77.1160260278578
"Chicago",2020-02-11,11,38,0.05,1206148,0.425176594348422,77.3837796789014
"Chicago",2020-02-11,12,38,0.05,1206148,0.425570534212524,76.8654095858195
"Chicago",2020-02-11,13,38,0.05,1206148,0.425464288014869,76.8218492428616
"Chicago",2020-02-11,14,38,0.05,1206148,0.425407622219262,77.1486500845126
"Chicago",2020-02-11,15,38,0.05,1206148,0.425331226443678,77.198336230757
"Chicago",2020-02-11,16,38,0.05,1206148,0.425248033954307,77.5136877177064
"Chicago",2020-02-11,17,38,0.05,1206148,0.425393549446962,77.0542924167153
"Chicago",2020-02-11,18,38,0.05,1206148,0.425346661838941,77.1493436056165
"Chicago",2020-02-11,19,38,0.05,1206148,0.425387364818437,76.7521000365262
"Chicago",2020-02-11,20,38,0.05,1206148,0.425298359184081,77.4643846909721
"Chicago",2020-02-11,21,38,0.05,1206148,0.425407443647592,77.0934738985624
"Chicago",2020-02-11,22,38,0.05,1206148,0.42541593077818,76.962400591026
"Chicago",2020-02-11,23,38,0.05,1206148,0.425411826658703,76.9928331867963
"Chicago",2020-02-11,24,38,0.05,1206148,0.425373845295377,76.9149027821389
"Chicago",2020-02-11,25,38,0.05,1206148,0.425197753141753,77.4227961218458
"Chicago",2020-02-11,26,38,0.05,1206148,0.425385205759183,77.1402368632768
"Chicago",2020-02-11,27,38,0.05,1206148,0.425375770036749,77.1466485218245
"Chicago",2020-02-11,28,38,0.05,1206148,0.425500210194911,77.183157067186
"Chicago",2020-02-11,29,38,0.05,1206148,0.425309075829539,76.9359060124353
"Chicago",2020-02-11,30,38,0.05,1206148,0.42537165503145,77.2105512117219
"Chicago",2020-02-11,31,38,0.05,1206148,0.425454177463079,76.9781792591498
"Chicago",2020-02-11,32,38,0.05,1206148,0.425393452616409,77.1782793010043
"Chicago",2020-02-11,33,38,0.05,1206148,0.4253295525617,77.3099220415056
"Chicago",2020-02-11,34,38,0.05,1206148,0.425154584369821,77.432937042021
"Chicago",2020-02-11,35,38,0.05,1206148,0.425397405340019,76.981944970879
"Chicago",2020-02-11,36,38,0.05,1206148,0.425408558578665,77.1480472625568
"Chicago",2020-02-11,37,38,0.05,1206148,0.425344681359208,77.0434962928506
"Chicago",2020-02-11,38,38,0.05,1206148,0.425219843775713,77.0999013399971
"Chicago",2020-02-11,39,38,0.05,1206148,0.425240587945057,77.3042559234243
"Chicago",2020-02-11,40,38,0.05,1206148,0.42534943946841,77.1482251656342
"Chicago",2020-02-11,41,38,0.05,1206148,0.425105381996584,77.5450282959183
"Chicago",2020-02-11,42,38,0.05,1206148,0.425491645993332,76.6535229539637
"Chicago",2020-02-11,43,38,0.05,1206148,0.425400671383079,77.0033783657357
"Chicago",2020-02-11,44,38,0.05,1206148,0.425437405776172,76.7805013843239
"Chicago",2020-02-11,45,38,0.05,1206148,0.42535873931936,76.9533723588677
"Chicago",2020-02-11,46,38,0.05,1206148,0.425439600151604,77.1073754746093
"Chicago",2020-02-11,47,38,0.05,1206148,0.425224988263013,77.3022452181221
"Chicago",2020-02-11,48,38,0.05,1206148,0.425525195152842,76.550620502784
"Chicago",2020-02-11,49,38,0.05,1206148,0.425265620034429,77.3454723108812
"Chicago",2020-02-11,50,38,0.05,1206148,0.425433888590264,76.9218452138838
"Chicago",2020-02-11,51,38,0.05,1206148,0.425406994932723,77.1550504040741
"Chicago",2020-02-11,52,38,0.05,1206148,0.425446449338741,77.1417946997584
"Chicago",2020-02-11,53,38,0.05,1206148,0.425229559838147,77.5928835222371
"Chicago",2020-02-11,54,38,0.05,1206148,0.42545636287842,77.0344534799775
"Chicago",2020-02-11,55,38,0.05,1206148,0.425424100903009,76.8503693565392
"Chicago",2020-02-11,56,38,0.05,1206148,0.425379163266159,77.2635934641405
"Chicago",2020-02-11,57,38,0.05,1206148,0.425278620333405,77.5135355514089
"Chicago",2020-02-11,58,38,0.05,1206148,0.425308758162822,77.4326452466239
"Chicago",2020-02-11,59,38,0.05,1206148,0.425461663979456,76.9753101916963
"Chicago",2020-02-11,60,38,0.05,1206148,0.425247983679469,77.2698192876197
"Chicago",2020-02-11,61,38,0.05,1206148,0.425362535012924,77.1541702395751
"Chicago",2020-02-11,62,38,0.05,1206148,0.425322783806646,77.4662937759127
"Chicago",2020-02-11,63,38,0.05,1206148,0.425057310147832,77.555532714308
"Chicago",2020-02-11,64,38,0.05,1206148,0.425289324605055,77.2375371316218
"Chicago",2020-02-11,65,38,0.05,1206148,0.425186179730001,77.3567222587149
"Chicago",2020-02-11,66,38,0.05,1206148,0.425411720432728,76.8758387768542
"Chicago",2020-02-11,67,38,0.05,1206148,0.425246044995764,77.4635016145779
"Chicago",2020-02-11,68,38,0.05,1206148,0.425315785374892,77.3188099058927
"Chicago",2020-02-11,69,38,0.05,1206148,0.425430561652355,77.0492334449164
"Chicago",2020-02-11,70,38,0.05,1206148,0.425254959658089,77.4575404254225
"Chicago",2020-02-11,71,38,0.05,1206148,0.425348455257343,77.2069035878747
"Chicago",2020-02-11,72,38,0.05,1206148,0.425334289655546,77.1873057751351
"Chicago",2020-02-11,73,38,0.05,1206148,0.425273105977053,77.1098408797539
"Chicago",2020-02-11,74,38,0.05,1206148,0.425341891240278,76.8955336986081
"Chicago",2020-02-11,75,38,0.05,1206148,0.42551438206209,76.8012882074966
"Chicago",2020-02-11,76,38,0.05,1206148,0.425363858869324,77.0735111982294
"Chicago",2020-02-11,77,38,0.05,1206148,0.425425949096667,77.1583646970867
"Chicago",2020-02-11,78,38,0.05,1206148,0.425306908448846,77.2527829525289
"Chicago",2020-02-11,79,38,0.05,1206148,0.425381211332157,77.0506650848234
"Chicago",2020-02-11,80,38,0.05,1206148,0.425442261115374,76.993301160698
"Chicago",2020-02-11,81,38,0.05,1206148,0.42506740692486,77.5501169942988
"Chicago",2020-02-11,82,38,0.05,1206148,0.425482854805732,76.7382467650525
"Chicago",2020-02-11,83,38,0.05,1206148,0.425223006291482,77.2949339589699
"Chicago",2020-02-11,84,38,0.05,1206148,0.425239687643233,77.523761290059
"Chicago",2020-02-11,85,38,0.05,1206148,0.425347677709608,77.0581778332218
"Chicago",2020-02-11,86,38,0.05,1206148,0.425323117543476,77.2013790512109
"Chicago",2020-02-11,87,38,0.05,1206148,0.425275010057861,77.1876074288483
"Chicago",2020-02-11,88,38,0.05,1206148,0.425299044685823,77.2702076454291
"Chicago",2020-02-11,89,38,0.05,1206148,0.425536534757477,76.7839461756727
"Chicago",2020-02-11,90,38,0.05,1206148,0.425416095111701,76.9748720085139
"Chicago",2020-02-11,91,38,0.05,1206148,0.425443179651626,77.0797766032378
"Chicago",2020-02-11,92,38,0.05,1206148,0.425357528636554,77.3990916107544
"Chicago",2020-02-11,93,38,0.05,1206148,0.425466226040643,76.953172963268
"Chicago",2020-02-11,94,38,0.05,1206148,0.425271301958185,77.2290323599487
"Chicago",2020-02-11,95,38,0.05,1206148,0.425256471344968,77.3882030854823
"Chicago",2020-02-11,96,38,0.05,1206148,0.425519184309233,76.879069256115
"Chicago",2020-02-11,97,38,0.05,1206148,0.425509718789133,76.932298628177
"Chicago",2020-02-11,98,38,0.05,1206148,0.425375710782503,77.1345900957441
"Chicago",2020-02-11,99,38,0.05,1206148,0.425559449061869,76.6571295963448
"Chicago",2020-02-11,100,38,0.05,1206148,0.425276643719482,77.3849190416071
"Chicago",2020-02-12,1,38,0.05,1216111,0.424971323578724,78.1463088238064
"Chicago",2020-02-12,2,38,0.05,1216111,0.425410817641758,77.5745377163446
"Chicago",2020-02-12,3,38,0.05,1216111,0.425269703968339,77.5624760966428
"Chicago",2020-02-12,4,38,0.05,1216111,0.425308930898589,77.8196107599595
"Chicago",2020-02-12,5,38,0.05,1216111,0.425215271406978,77.8958016079374
"Chicago",2020-02-12,6,38,0.05,1216111,0.425098773727662,78.2272304118395
"Chicago",2020-02-12,7,38,0.05,1216111,0.425224320078372,77.7918269226403
"Chicago",2020-02-12,8,38,0.05,1216111,0.425202174288193,77.8396587420986
"Chicago",2020-02-12,9,38,0.05,1216111,0.425234118394136,77.4618771559535
"Chicago",2020-02-12,10,38,0.05,1216111,0.425134527052119,78.1791935129506
"Chicago",2020-02-12,11,38,0.05,1216111,0.425268915125085,77.7984387581015
"Chicago",2020-02-12,12,38,0.05,1216111,0.425214607344706,77.7188727797242
"Chicago",2020-02-12,13,38,0.05,1216111,0.425276215697814,77.6743103191201
"Chicago",2020-02-12,14,38,0.05,1216111,0.425205856716171,77.6646142272072
"Chicago",2020-02-12,15,38,0.05,1216111,0.425011964837276,78.1772426289031
"Chicago",2020-02-12,16,38,0.05,1216111,0.425214207642603,77.8709948157466
"Chicago",2020-02-12,17,38,0.05,1216111,0.42523690028706,77.8422787713986
"Chicago",2020-02-12,18,38,0.05,1216111,0.425344074275671,77.8912374970586
"Chicago",2020-02-12,19,38,0.05,1216111,0.42515316641557,77.6528229407076
"Chicago",2020-02-12,20,38,0.05,1216111,0.42521339236564,77.9161788176631
"Chicago",2020-02-12,21,38,0.05,1216111,0.425293284541626,77.7104095867423
"Chicago",2020-02-12,22,38,0.05,1216111,0.425306201382503,77.8254399805597
"Chicago",2020-02-12,23,38,0.05,1216111,0.425217683539335,77.9781470192041
"Chicago",2020-02-12,24,38,0.05,1216111,0.424916194147854,78.2289094384257
"Chicago",2020-02-12,25,38,0.05,1216111,0.425210503389258,77.725424229642
"Chicago",2020-02-12,26,38,0.05,1216111,0.425280713527629,77.845962967896
"Chicago",2020-02-12,27,38,0.05,1216111,0.425196729247542,77.7594262698284
"Chicago",2020-02-12,28,38,0.05,1216111,0.425065151376641,77.7995565340912
"Chicago",2020-02-12,29,38,0.05,1216111,0.425102250387951,78.0207946105904
"Chicago",2020-02-12,30,38,0.05,1216111,0.425193178424475,77.8360875015176
"Chicago",2020-02-12,31,38,0.05,1216111,0.424961547904735,78.2591561032883
"Chicago",2020-02-12,32,38,0.05,1216111,0.425315932892484,77.3686532745869
"Chicago",2020-02-12,33,38,0.05,1216111,0.4252793479803,77.6871863540512
"Chicago",2020-02-12,34,38,0.05,1216111,0.425256401976223,77.5227287947381
"Chicago",2020-02-12,35,38,0.05,1216111,0.425172144442985,77.6975861528413
"Chicago",2020-02-12,36,38,0.05,1216111,0.425308378061536,77.7711582933698
"Chicago",2020-02-12,37,38,0.05,1216111,0.425045421097228,78.0180948738519
"Chicago",2020-02-12,38,38,0.05,1216111,0.425391965384023,77.2516896630277
"Chicago",2020-02-12,39,38,0.05,1216111,0.425116099058113,78.0950261487676
"Chicago",2020-02-12,40,38,0.05,1216111,0.425263386984942,77.659634870175
"Chicago",2020-02-12,41,38,0.05,1216111,0.425321170912077,77.7995101149684
"Chicago",2020-02-12,42,38,0.05,1216111,0.425303322105876,77.832553370443
"Chicago",2020-02-12,43,38,0.05,1216111,0.425054505695964,78.3425728687343
"Chicago",2020-02-12,44,38,0.05,1216111,0.425280136292609,77.7485880361007
"Chicago",2020-02-12,45,38,0.05,1216111,0.425304463527464,77.5391007457601
"Chicago",2020-02-12,46,38,0.05,1216111,0.425245801974091,77.9688885154547
"Chicago",2020-02-12,47,38,0.05,1216111,0.425133847628692,78.215016643577
"Chicago",2020-02-12,48,38,0.05,1216111,0.425170758972595,78.1412243728349
"Chicago",2020-02-12,49,38,0.05,1216111,0.425279937429953,77.7004294770325
"Chicago",2020-02-12,50,38,0.05,1216111,0.425091105104132,77.9813360391581
"Chicago",2020-02-12,51,38,0.05,1216111,0.425163452348457,77.8897170895163
"Chicago",2020-02-12,52,38,0.05,1216111,0.425195217168089,78.1538068526061
"Chicago",2020-02-12,53,38,0.05,1216111,0.424877472007524,78.2965036838704
"Chicago",2020-02-12,54,38,0.05,1216111,0.425146395681288,77.9384782156421
"Chicago",2020-02-12,55,38,0.05,1216111,0.425020856992913,78.0885650252754
"Chicago",2020-02-12,56,38,0.05,1216111,0.425231320817495,77.5985795723723
"Chicago",2020-02-12,57,38,0.05,1216111,0.425098212425233,78.162858483688
"Chicago",2020-02-12,58,38,0.05,1216111,0.425200390761854,78.0025566842156
"Chicago",2020-02-12,59,38,0.05,1216111,0.425288152815853,77.7576551964597
"Chicago",2020-02-12,60,38,0.05,1216111,0.42507417305057,78.1961543283011
"Chicago",2020-02-12,61,38,0.05,1216111,0.425242718741407,77.8723708345463
"Chicago",2020-02-12,62,38,0.05,1216111,0.42516887112096,77.9043082738808
"Chicago",2020-02-12,63,38,0.05,1216111,0.425132600368552,77.8213841074555
"Chicago",2020-02-12,64,38,0.05,1216111,0.425182215463108,77.6405736427758
"Chicago",2020-02-12,65,38,0.05,1216111,0.425372485796831,77.503230779919
"Chicago",2020-02-12,66,38,0.05,1216111,0.425190785691339,77.8034283763868
"Chicago",2020-02-12,67,38,0.05,1216111,0.425232131864389,77.9015985945535
"Chicago",2020-02-12,68,38,0.05,1216111,0.425167572656267,77.9408535415335
"Chicago",2020-02-12,69,38,0.05,1216111,0.425197075493082,77.7596680809919
"Chicago",2020-02-12,70,38,0.05,1216111,0.425225849694734,77.7441231891464
"Chicago",2020-02-12,71,38,0.05,1216111,0.424930073842974,78.2839166122406
"Chicago",2020-02-12,72,38,0.05,1216111,0.425304186266064,77.4621164680913
"Chicago",2020-02-12,73,38,0.05,1216111,0.425063527327418,78.0062609702624
"Chicago",2020-02-12,74,38,0.05,1216111,0.425061517719963,78.2561022963445
"Chicago",2020-02-12,75,38,0.05,1216111,0.42519098031313,77.7871528265674
