day,index,rho,error,msa,region,yindex,rho_ci_low,rho_ci_high,err_ci_low,err_ci_high,nblock_median,lag_median,n_boot_used,keep_ratio,B,n_fail
2020-02-10,exp,0.392846035940542,71.4928278241581,San Francisco,msa,2,0.397174540202644,0.415720634742526,65.8050915284073,74.4036745782847,2612,24,100,0.9,100,0
2020-02-10,homo,0.000270630789594854,70.5605177392624,San Francisco,msa,2,0.000289844697667461,0.000289844697667461,68.1709109228222,72.1038756129055,2612,24,100,0.9,100,0
2020-02-10,power,79.9999508083439,690.085151644801,San Francisco,msa,2,64.7214332302896,79.9999508083439,569.259259924079,644.393605123795,2612,24,100,0.9,100,0
2020-02-11,exp,0.394702185974895,70.3088941857127,San Francisco,msa,2,0.399599116369679,0.417456300610214,64.5939028238204,72.9977183858791,2612,24,100,0.9,100,0
2020-02-11,homo,0.000268596342274132,70.4224499598384,San Francisco,msa,2,0.000289844697667461,0.000289844697667461,67.8941349724207,72.0010207152293,2612,24,100,0.9,100,0
2020-02-11,power,79.9999508083439,678.021088860892,San Francisco,msa,2,64.7214332302896,79.9999508083439,560.993834227674,632.626333962596,2612,24,100,0.9,100,0
2020-02-12,exp,0.384912995264428,74.1089725970306,San Francisco,msa,2,0.386552356150196,0.410661934593858,69.0944746379378,77.0850182846816,2612,24,100,0.9,100,0
2020-02-12,homo,0.000263697909417901,72.6320676881498,San Francisco,msa,2,0.000289844697667461,0.000289844697667461,69.691223557213,74.2481495649716,2612,24,100,0.9,100,0
2020-02-12,power,79.9999508083439,694.142151550378,San Francisco,msa,2,64.7214332302896,79.9999508083439,574.913880639388,648.00532621558,2612,24,100,0.9,100,0
2020-02-13,exp,0.38894383744631,74.2109938653962,San Francisco,msa,2,0.391873257754341,0.413658977846768,68.647492285838,77.2482249635248,2612,24,100,0.9,100,0
2020-02-13,homo,0.000267624956524866,73.2035830221145,San Francisco,msa,2,0.000289844697667461,0.000289844697667461,70.3947540861213,74.8330629386539,2612,24,100,0.9,100,0
